test_ename,test_cname,specimen,reference_range,detail_link
"Cholesterol, Total(STAT)",總膽固醇,血漿(Heparin Plasma),< 200 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=482&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
CK-MB(STAT),肌酸磷酸脢-MB亞型,血漿(Heparin Plasma),男：< 6.22 ng/mL ；女：< 4.88 ng/mL(2015/1/4 變更，舊生物參考區間2013/2/9～2015/1/3為 < 20 U/L2013/2/9 之前為<16U/L),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=483&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Copper (Cu),銅,血清(Serum); 二十四小時尿液(24hrs Urine),Serum：700~1400 ppbUrine：<38 μg/day(2016/08/01變更，舊參考值 serum：900~1500ppb；urine：<60μg/day),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=134&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Cortisol,皮質醇,血清(Serum),"Before 10 AM：3.7~19.4 μg/dL； 
   After 5 PM：2.9~17.3 μg/dL， 
   (2018/01/11變更，舊參考區間2013/11/13~2018/01/10為8AM：5~25 μg/dL；16PM：2.5~12.5 μg/dL，2012/01/01~2013/11/12為8AM：5~24 μg/dL；16PM：2.5~12.5 μg/dL)。",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=388&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
C-Peptide (6 min),血糖激素刺激試驗 C端-連結胜肽 (6分鐘）,血清(Serum),after glucagon>50％increase,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=211&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
C-peptide(0 min),血糖激素刺激試驗 C端-連結胜肽 (0分鐘）,血清(Serum),0.78~5.19 ng/mL(2017/11/08變更，舊參考區間為0.9~7.1 ng/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=212&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Creatine Kinase, CK",肌酸磷酸酵素,血清(Serum),"30~223 U/L(2012/10/15起變更,舊參考值：♂：<190 U/L, ♀：<167 U/L)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=390&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Creatine Kinase, CK(STAT)",肌酸磷酸酵素,血漿(Heparin Plasma),"30~223 U/L(2012/10/15起變更,舊參考值：♂：<190 U/L, ♀：<167 U/L)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=485&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Creatinine (Blood),肌酸酐(血液),血清(Serum),0.6 ~ 1.3 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=391&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Creatinine (Blood)(STAT),肌酸酐(血液),血漿(Heparin Plasma),0.6 ~ 1.3 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=486&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Creatinine (Urine),肌酸酐(尿液),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=517&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Creatinine (Urine)(STAT),肌酸酐(尿),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=530&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Creatinine(POCT),肌酸酐(床邊檢驗),全血(Heparin Whole Blood),​0.6~1.3 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=601&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Cyclosporin A (C0),"環孢素, 給藥前谷底濃度",全血(EDTA Whole Blood),"有效治療濃度範圍：150 ~ 400 ng/mL  依移植器官, 移植後時間及排斥程度而異",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=123&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Cyclosporin A (C2),"環孢素, 給藥後兩小時高峰濃度",全血(EDTA Whole Blood),"有效治療濃度範圍：150 ~ 400 ng/mL 依移植器官, 移植後時間及排斥程度而異",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=124&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
DHEA-SO4,硫酸－DHEA,血清(Serum),兒童(Children)：<1週(week)：0.7~8.2 μmol/L1週(week)~1個月(month)：0.2~8.6 μmol/L1~1歲(year)：0.9~5.8 μmol/L1~4歲(years)：0.9~7.5 μmol/L5~10歲(years)：0.7~5.7 μmol/L男(Male)：11~14歲(years)：0.5~6.6 μmol/L15~19歲(years)：1.2~10.4 μmol/L20~24歲(years)：6.5~14.6 μmol/L25~34歲(years)：4.6~16.1 μmol/L35~44歲(years)：3.8~13.1 μmol/L45~54歲(years)：3.7~12.1 μmol/L55~64歲(years)：1.3~9.8 μmol/L65~70歲(years)：6.2~7.7 μmol/L女(Female)：11~14歲(years)：0.2~4.6 μmol/L15~19歲(years)：1.7~13.4 μmol/L20~24歲(years)：3.6~11.1 μmol/L25~34歲(years)：2.6~13.9 μmol/L35~44歲(years)：2.0~11.1 μmol/L45~54歲(years)：1.5~7.7 μmol/L55~64歲(years)：0.8~4.9 μmol/L65~70歲(years)：0.9~2.1 μmol/L(2017/11/08變更，舊參考值2013/11/13~2017/11/07為♂：2.17~15.20 µmol/L；♀：0.95~11.67 µmol/L，2013/11/13以前為♂：4.6 - 13.4 µmol/L；♀：4.6 - 15.4 µmol/L),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=213&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Digoxin,長葉毛地黃,血清(Serum),有效治療濃度範圍：CHF：0.5~0.9 ng/mL；AF：0.5~2 ng/mL(2014/11/03變更，舊參考值為0.8 ~ 2.0 ng/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=214&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Digoxin(STAT),長葉毛地黃,血清(Serum),有效治療濃度範圍：CHF：0.5~0.9 ng/mL；AF：0.5~2 ng/mL(2014/11/03變更，舊參考值為0.8 ~ 2.0 ng/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=244&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
EPO,紅血球生成因子,血清(Serum),4.3~29 mIU/mL (2013/11/13變更，舊參考值為3.7-31.5 mIU/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=215&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Estradiol(E2),雌性激素,血清(Serum),Follicular：<160 pg/mLPeriovulation：34~400 pg/mLLuteal：27~246 pg/mLUntreated Postmenopausal：<30 pg/mL(90% range)Treated Postmenopausal：<93 pg/mL(90% range)Male：<56 pg/mL(90% range)(2013/11/13變更，舊參考區間如下：Follicular：26.6-161 pg/mLPre-ovulatory peak：187-382 pg/mLLuteal：32.7-201 pg/mLpostmenopausal：5.4-38.4 pg/mLMale：5.4-65.9 pg/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=216&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Everolimus(Certican),抗排斥藥物Certican血中濃度,全血(EDTA Whole Blood),有效治療濃度範圍：3 ~ 8 ng/mL (依合併藥物移植器官移植後時間及排斥程度而異),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=125&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Ferritin,鐵蛋白,血清(Serum),Males : 21.81~274.66 ng/mL；Females : 4.63~204.0 ng/mL，(2018/01/11變更，舊參考區間2013/11/13~2018/01/10為Males : 28~365 ng/mL；Females : 5~148 ng/mL，2012/01/01~2013/11/12為Males：26.6~377 ng/mL；Females：3.0~151 ng/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=392&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Folic Acid,葉酸,血清(Serum),​3.1~20.5 ng/mL(2017/11/08變更，舊參考值2013/11/13~2017/11/07為3~17 ng/mL2013/11/13以前為3.1~12.4 ng/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=393&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Free PSA,游離攝護腺特異抗原,血清(Serum),%free PSA：23%±2%(當Total PSA在4~20 ng/ml),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=437&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Free T4 (CIA),游離型甲狀腺素,血清(Serum),0.70~1.48 ng/dL，(2018/01/11變更，舊參考區間2013/11/13~2018/01/10為0.89~1.76 ng/dL，2012/01/01~2013/11/12為0.6~1.75 ng/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=394&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
FSH,濾泡刺激素,血清(Serum),Follicular：2.8~11.3 mIU/mLMidcycle：5.8~21 mIU/mLLuteal：1.2~9.0 mIU/mLPostmenopausal：21.7~153 mIU/mLTreated Postmenopausal：9.7~111 mIU/mLMale：0.7~11.1 mIU/mL(2013/11/13變更，舊參考區間如下：Follicular：1.9-11.6 mIU/mLMidcycle peak：5.1-23.4 mIU/mLLuteal：1.4-9.6 mIU/mLpostmenopausal：21.5-131 mIU/mLMale：1.6-9.7 mIU/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=217&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
G-6-PD,葡萄糖6磷酸去氫脢,全血(EDTA Whole Blood),新生兒(<7 Days)：12.5~21.6 U/gHb兒童(3個月-12歲)：8.8~18.4 U/gHb成人：6.4~12.9 U/gHb,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=126&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Gamma-GT,麩胺酸轉胺酵素,血清(Serum),9~64 U/L (2013/11/13變更，舊參考值為 < 52 U/L),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=395&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Gamma-GT, GGT(STAT)",麩胺酸轉胺酵素,血漿(Heparin Plasma),9~64 U/L (2013/11/13變更，舊參考值為 < 52 U/L),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=487&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Gentamicin,血中抗生素Gentamicin濃度,血清(Serum),有效治療濃度範圍：Peak：4~10 µg/mL；Trough：<2 µg/mL (2014/11/03變更，舊參考值為Peak：4~ 10 µg/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=218&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Glucose  2HR PC,飯後兩小時血糖,血漿(NaF Plasma),< 140 mg/dL孕婦100g糖水試驗 < 155 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=192&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Glucose (AC),空腹血糖,血漿(NaF Plasma),70~100 mg/dL(2011/10/6 公告),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=193&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
GLUCOSE 2HR(STAT),血糖，飯後二小時,血漿(NaF Plasma),< 140 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=196&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
GLUCOSE 3 HR.,血糖，飯後三小時,血漿(NaF Plasma),< 140 mg/dL孕婦100g糖水試驗 < 140 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=194&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Glucose(CSF),腦脊髓液葡萄糖檢查,腦脊髓液(CSF),Adult： 40~70 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=602&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Glucose(Serum for ED),血糖,血漿(Heparin Plasma),70~100 mg/dL(2011/10/6 公告),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=488&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Glucose(STAT),血糖,血漿(NaF Plasma),70~100 mg/dL(2011/10/6 公告),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=197&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
GnRH-0MIN(Female),性釋素刺激試驗－0MIN（女）,血清(Serum),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=219&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
GnRH-0MIN(Male),性釋素刺激試驗－0MIN（男）,血清(Serum),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=220&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
GnRH-120MIN,性釋素刺激試驗－120MIN,血清(Serum),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=221&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
GnRH-30MIN,性釋素刺激試驗－30MIN,血清(Serum),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=222&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
GnRH-60MIN,性釋素刺激試驗－60MIN,血清(Serum),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=223&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
GnRH-90MIN,性釋素刺激試驗－90MIN,血清(Serum),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=224&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Haptoglobin,血紅素結合蛋白,血清(Serum),44~215 mg/dL (2013/11/13變更，舊參考值為 30 - 178 mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=396&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HbA1c,糖化血色素,全血(EDTA Whole Blood),4.0~6.0%(2016/08/05變更，舊參考值為3.8~6.0 % ),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=127&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HBeAg,B型肝炎e抗原,血清(Serum),判讀標準：Negative：＜1.0；Positive：≧1.0,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=438&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HBs Ag (針扎專用)(STAT),B型肝炎表面抗原,血清(Serum),判讀標準：＜0.05 IU/mL：Negative；≧0.05 IU/mL：Positive,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=489&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HBsAg,B型肝炎表面抗原,血清(Serum),判讀標準：                   Negative：＜0.05 IU/mL；Positive：≧0.05 IU/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=439&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HBsAg(STAT),B型肝炎表面抗原,血清(Serum),判讀標準：＜0.05 IU/mL：Negative；≧0.05 IU/mL：Positive,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=490&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HDL,高密度脂蛋白膽固醇,血清(Serum),> 40 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=397&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HDL(STAT),高密度脂蛋白膽固醇,血漿(Heparin Plasma),> 40 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=491&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
hGH,生長激素,血清(Serum),♂：< 3 ng/mL♀：< 8 ng/mL2012/2/23變更，舊參考值為 ≦ 4 ng/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=225&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"high sensitivity C-Reactive Protein, hsCRP",高敏感度C-反應蛋白,血清(Serum),"<1 mg/dL(評估感染或發炎性疾病)；Recommended Cardiac risk assessment categories：Low < 0.1 mg/dL , Average 0.1~0.3 mg/dL , High > 0.3 mg/dL(2016/08/05變更，2016/02/04~2016/08/04舊參考區間為< 1 mg/dL；2016/02/04之前，舊參考區間為< 0.8 mg/dL)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=389&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"high sensitivity C-Reactive Protein, hsCRP(STAT)",高敏感度C-反應蛋白,血漿(Heparin Plasma),"<1 mg/dL(評估感染或發炎性疾病)；Recommended Cardiac risk assessment categories：Low < 0.1 mg/dL , Average 0.1~0.3 mg/dL , High > 0.3 mg/dL(2016/08/05變更，2016/02/04~2016/08/04舊參考區間為< 1 mg/dL；2016/02/04之前，舊參考區間為< 0.8 mg/dL)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=484&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HIV Ag/Ab Combo -  For Screening,人類免疫缺陷病毒抗原抗體複合型篩檢試驗,血清(Serum),判讀標準：Negative：S/CO< 1.00Positive：S/CO≧1.00,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=443&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Homocysteine,類胱胺酸,血漿(EDTA Plasma),3.4 ~ 15.6 µmol/L,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=128&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
hsTSH(CIA),甲狀腺刺激素,血清(Serum),0.35~4.94 µIU/mL，(2018/01/11變更，舊參考區間2013/11/13~2018/01/10為0.4~4 µIU/mL，2012/01/01~2013/11/12為0.1~4.5 µIU/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=398&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HTLV I+II Antibody (Qualitative),人類嗜T淋巴球病毒第一型及第二型抗體 (定性),血清(Serum),判讀標準：Negative：＜1.0；Positive：≧1.0,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=440&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
ICG(Indocyanine green)(0minute),肝臟機能ＩＣＧ色素檢查（０分鐘）,血漿(Heparin Plasma),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=538&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
ICG(Indocyanine green)(15minutes),肝臟機能ＩＣＧ色素檢查（１５分鐘）,血漿(Heparin Plasma),<12 %,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=539&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
